mp-pt	item-code	treatment-of-code
vigabatrin	2667J	4929
vigabatrin	2668K	4929
sevelamer	2142R	5491
desmopressin	2129C	5266
calcitriol	2502Q	5401
calcitriol	2502Q	5255
calcitriol	2502Q	5089
calcitriol	2502Q	5114
calcitriol	2502Q	5402
phosphorus	2946C	5089
phosphorus	2946C	5114
phosphorus	2946C	5095
phosphorus	2946C	5123
isotretinoin	2549E	5224
morphine	2839K	10755
morphine	2839K	10748
morphine	2839K	10752
morphine	2841M	10755
morphine	2841M	10748
morphine	2841M	10752
lamotrigine	2850B	5138
acitretin	2019G	5789
acitretin	2019G	5727
liothyronine	2318B	6382
liothyronine	2318B	6410
liothyronine	2318B	6475
carmellose sodium	2324H	6172
acitretin	2020H	5789
acitretin	2020H	5727
protein hydrolysate formula with medium chain triglycerides	2676W	6174
protein hydrolysate formula with medium chain triglycerides	2676W	6193
protein hydrolysate formula with medium chain triglycerides	2676W	6204
protein hydrolysate formula with medium chain triglycerides	2676W	6137
protein hydrolysate formula with medium chain triglycerides	2676W	6182
protein hydrolysate formula with medium chain triglycerides	2676W	6194
protein hydrolysate formula with medium chain triglycerides	2676W	6157
protein hydrolysate formula with medium chain triglycerides	2676W	6205
protein hydrolysate formula with medium chain triglycerides	2676W	6195
protein hydrolysate formula with medium chain triglycerides	2676W	6158
protein hydrolysate formula with medium chain triglycerides	2676W	6166
protein hydrolysate formula with medium chain triglycerides	2676W	6148
protein hydrolysate formula with medium chain triglycerides	2676W	6138
protein hydrolysate formula with medium chain triglycerides	2676W	6206
isotretinoin	2591J	5224
famciclovir	2274Q	5937
tramadol	2527B	10755
tramadol	2527B	10748
tramadol	2527B	10752
morphine	2840L	10755
morphine	2840L	10748
morphine	2840L	10752
risperidone	3171X	4246
risperidone	3171X	5907
fluconazole	5446P	6006
fluconazole	5446P	6045
fluconazole	5446P	6031
fluconazole	5446P	6046
fluconazole	5446P	6032
fluconazole	5446P	7934
asenapine	5141N	4246
asenapine	5141N	5773
asenapine	5141N	5719
risperidone	3170W	4246
risperidone	3170W	5907
olanzapine	3381Y	5856
olanzapine	3381Y	5869
fentanyl	5280X	10745
fentanyl	5280X	10747
fentanyl	5280X	10751
paliperidone	5107T	4246
vildagliptin + metformin	5474D	6333
vildagliptin + metformin	5474D	6357
vildagliptin + metformin	5474D	6344
vildagliptin + metformin	5474D	6443
fentanyl	5438F	10745
fentanyl	5438F	10747
fentanyl	5438F	10751
magnesium	5146W	5506
magnesium	5146W	5466
exenatide	3423E	5500
exenatide	3423E	5478
exenatide	3423E	5469
paliperidone	5100K	4246
fentanyl	5439G	10745
fentanyl	5439G	10747
fentanyl	5439G	10751
fentanyl	5279W	10745
fentanyl	5279W	10747
fentanyl	5279W	10751
olanzapine	3382B	5856
olanzapine	3382B	5869
linagliptin	3387G	6346
linagliptin	3387G	6363
linagliptin	3387G	6376
linagliptin	3387G	7505
paliperidone	5102M	4246
vildagliptin + metformin	5475E	6333
vildagliptin + metformin	5475E	6357
vildagliptin + metformin	5475E	6344
vildagliptin + metformin	5475E	6443
apixaban	5054B	4382
apixaban	5054B	4409
fentanyl	5441J	10745
fentanyl	5441J	10747
fentanyl	5441J	10751
paliperidone	5109X	4246
denosumab	5457F	6548
denosumab	5457F	6524
dutasteride	5468T	6202
risperidone	3169T	4246
risperidone	3169T	5907
asenapine	5140M	4246
asenapine	5140M	5773
asenapine	5140M	5719
exenatide	3424F	5500
exenatide	3424F	5478
exenatide	3424F	5469
fentanyl	5437E	10745
fentanyl	5437E	10747
fentanyl	5437E	10751
leflunomide	5449T	5766
calcium	3117C	4586
quetiapine	5458G	4246
quetiapine	5458G	5611
quetiapine	5458G	5639
leflunomide	5450W	5766
risperidone	3172Y	4246
risperidone	3172Y	5907
fentanyl	5277R	10745
fentanyl	5277R	10747
fentanyl	5277R	10751
varenicline	5469W	6885
denosumab	5110Y	4158
denosumab	5110Y	4150
olanzapine	3385E	5856
olanzapine	3385E	5869
fentanyl	5440H	10745
fentanyl	5440H	10747
fentanyl	5440H	10751
ondansetron	5472B	10498
apixaban	5061J	4402
fingolimod	5262Y	10162
fingolimod	5262Y	10172
paliperidone	5103N	4246
fentanyl	5265D	10745
fentanyl	5265D	10747
fentanyl	5265D	10751
vildagliptin	3415R	6346
vildagliptin	3415R	6363
vildagliptin	3415R	6376
medium chain triglycerides	3128P	6181
medium chain triglycerides	3128P	6134
medium chain triglycerides	3128P	6164
medium chain triglycerides	3128P	6203
medium chain triglycerides	3128P	6155
medium chain triglycerides	3128P	6135
medium chain triglycerides	3128P	6146
tobramycin	5442K	5520
ondansetron	5473C	10498
fentanyl	5278T	10745
fentanyl	5278T	10747
fentanyl	5278T	10751
olanzapine	3384D	5856
olanzapine	3384D	5869
interferon beta-1b	8101J	7695
interferon beta-1b	8101J	6860
dutasteride + tamsulosin	5490Y	6189
tiagabine	8222R	4928
valaciclovir	8134D	5961
dextran-70 + hypromellose	8299T	6172
valaciclovir	8064K	5962
valaciclovir	8064K	5968
leflunomide	8375T	5681
polyethylene glycol-400 + propylene glycol	5532E	6172
olanzapine	8187X	5856
olanzapine	8187X	5869
nilutamide	8131Y	5785
nilutamide	8131Y	5647
omeprazole	8333N	8780
omeprazole	8333N	8866
pantoprazole	8007K	8775
pantoprazole	8007K	8774
protein hydrolysate formula with medium chain triglycerides	8259Q	6174
protein hydrolysate formula with medium chain triglycerides	8259Q	6193
protein hydrolysate formula with medium chain triglycerides	8259Q	6204
protein hydrolysate formula with medium chain triglycerides	8259Q	6137
protein hydrolysate formula with medium chain triglycerides	8259Q	6182
protein hydrolysate formula with medium chain triglycerides	8259Q	6194
protein hydrolysate formula with medium chain triglycerides	8259Q	6157
protein hydrolysate formula with medium chain triglycerides	8259Q	6205
protein hydrolysate formula with medium chain triglycerides	8259Q	6195
protein hydrolysate formula with medium chain triglycerides	8259Q	6158
protein hydrolysate formula with medium chain triglycerides	8259Q	6166
protein hydrolysate formula with medium chain triglycerides	8259Q	6148
protein hydrolysate formula with medium chain triglycerides	8259Q	6138
risperidone	8100H	4246
risperidone	8100H	5907
oxycodone	8387K	10755
oxycodone	8387K	10748
oxycodone	8387K	10752
ondansetron	8412R	10498
topiramate	8166T	5516
oxycodone	8388L	10755
oxycodone	8388L	10748
oxycodone	8388L	10752
tirofiban	8350L	5782
tirofiban	8350L	5809
tirofiban	8350L	5691
famciclovir	8002E	5951
olanzapine	8186W	5856
olanzapine	8186W	5869
oxycodone + naloxone	8000C	10755
oxycodone + naloxone	8000C	10748
oxycodone + naloxone	8000C	10752
ondansetron	8233H	4102
oxycodone	8386J	10755
oxycodone	8386J	10748
oxycodone	8386J	10752
quetiapine	8458E	4246
quetiapine	8458E	5611
quetiapine	8458E	5639
olanzapine	8434X	5856
olanzapine	8434X	5869
topiramate	8372P	5173
fluticasone propionate + salmeterol	8431R	4930
quetiapine	8457D	4246
quetiapine	8457D	5611
quetiapine	8457D	5639
morphine	8349K	10755
morphine	8349K	10748
morphine	8349K	10752
carbomer-974P	5502N	6172
interferon beta-1a	8403G	7695
interferon beta-1a	8403G	6860
albendazole	8459F	5607
leflunomide	8374R	5681
oxycodone	8385H	10755
oxycodone	8385H	10748
oxycodone	8385H	10752
famciclovir	8217L	5971
valaciclovir	8133C	5960
olanzapine	8170B	5856
olanzapine	8170B	5869
topiramate	8164Q	5516
topiramate	8164Q	5325
vildagliptin + metformin	5476F	6333
vildagliptin + metformin	5476F	6357
vildagliptin + metformin	5476F	6344
vildagliptin + metformin	5476F	6443
apixaban	5500L	4381
apixaban	5500L	4359
itraconazole	8196J	6022
itraconazole	8196J	6005
itraconazole	8196J	6057
itraconazole	8196J	5988
itraconazole	8196J	6037
itraconazole	8196J	6016
itraconazole	8196J	6035
omeprazole	8331L	8775
omeprazole	8331L	8774
bicalutamide	8094B	5729
fluticasone propionate + salmeterol	8430Q	4930
pantoprazole	8008L	8780
pantoprazole	8008L	8866
morphine	8035X	10755
morphine	8035X	10748
morphine	8035X	10752
dextran-70 + hypromellose	5521N	6172
olsalazine	8086N	4824
famciclovir	8092X	5937
fluticasone propionate + salmeterol	8432T	4930
fluticasone propionate + salmeterol	8432T	10121
raloxifene	8363E	6314
quetiapine	8456C	7916
quetiapine	8456C	7927
quetiapine	8456C	7893
topiramate	8165R	5516
ivermectin	8359Y	4319
carbomer-980	5504Q	6172
morphine	8146R	10755
morphine	8146R	10748
morphine	8146R	10752
acamprosate	8357W	5366
lamotrigine	8063J	5138
carmellose sodium	5506T	6172
morphine	8305D	10755
morphine	8305D	10748
morphine	8305D	10752
ondansetron	8413T	10498
tiagabine	8223T	4928
clopidogrel	8358X	5517
clopidogrel	8358X	5524
clopidogrel	8358X	5525
clopidogrel	8358X	5459
clopidogrel	8358X	5436
clopidogrel	8358X	5508
topiramate	8371N	5173
olanzapine	8185T	5856
olanzapine	8185T	5869
gabapentin	8389M	4928
valaciclovir	5480K	5940
carmellose sodium	5505R	6172
olanzapine	8433W	5856
olanzapine	8433W	5869
morphine	8306E	10755
morphine	8306E	10748
morphine	8306E	10752
ursodeoxycholic acid	8448P	9032
topiramate	8163P	5516
topiramate	8163P	5325
soy lecithin + tocopherol + vitamin A	5545W	6172
atovaquone	8300W	5609
tiagabine	8221Q	4928
mesalazine	8616L	4888
morphine	8493B	10755
morphine	8493B	10748
morphine	8493B	10752
ezetimibe + simvastatin	8882L	7957
eplerenone	8880J	4937
morphine	8489T	10755
morphine	8489T	10748
morphine	8489T	10752
fentanyl	8878G	10745
fentanyl	8878G	10747
fentanyl	8878G	10751
risperidone	8789N	6898
risperidone	8789N	6899
morphine	8491X	10755
morphine	8491X	10748
morphine	8491X	10752
risperidone	8780D	4246
risperidone	8780D	5912
pioglitazone	8695P	4363
pioglitazone	8695P	4388
pioglitazone	8695P	4364
gabapentin	8505P	4928
buprenorphine	8866P	10755
buprenorphine	8866P	10748
buprenorphine	8866P	10752
mesalazine	8768L	4888
esomeprazole	8886Q	8775
esomeprazole	8886Q	8774
granisetron	8873B	10498
desmopressin	8663Y	5413
desmopressin	8663Y	5295
levetiracetam	8656N	7603
iron sucrose	8807M	4302
bupropion	8710K	6881
eptifibatide	8683B	6435
desmopressin	8711L	5266
budesonide + formoterol (eformoterol)	8750M	7979
budesonide + formoterol (eformoterol)	8750M	10121
gabapentin	8559L	4928
pioglitazone	8694N	4363
pioglitazone	8694N	4388
pioglitazone	8694N	4364
famciclovir	8897G	5943
eplerenone	8879H	4937
morphine	8492Y	10755
morphine	8492Y	10748
morphine	8492Y	10752
bivalirudin	8844L	4919
amisulpride	8596K	4246
risperidone	8782F	4246
risperidone	8782F	5912
mesalazine	8617M	4888
montelukast	8628D	6674
montelukast	8628D	7781
budesonide + formoterol (eformoterol)	8625Y	7970
whey protein formula supplemented with amino acids, vitamins and minerals, and low in protein, phosphate, potassium and lactose	8587Y	6190
morphine	8494C	10755
morphine	8494C	10748
morphine	8494C	10752
risedronate (&) calcium carbonate	8899J	6306
risedronate (&) calcium carbonate	8899J	6325
risedronate (&) calcium carbonate	8899J	6319
fluticasone propionate + salmeterol	8519J	4930
fluticasone propionate + salmeterol	8519J	10121
buprenorphine	8865N	10755
buprenorphine	8865N	10748
buprenorphine	8865N	10752
risperidone	8787L	6898
risperidone	8787L	6899
bupropion	8465M	6882
granisetron	8730L	4092
amisulpride	8736T	4246
oxcarbazepine	8586X	5183
desmopressin	8712M	5342
desmopressin	8712M	5267
fentanyl	8892B	10745
fentanyl	8892B	10747
fentanyl	8892B	10751
oxycodone + naloxone	8934F	10755
oxycodone + naloxone	8934F	10748
oxycodone + naloxone	8934F	10752
fentanyl	8891Y	10745
fentanyl	8891Y	10747
fentanyl	8891Y	10751
rabeprazole	8508T	8780
interferon beta-1a	8805K	7695
interferon beta-1a	8805K	6860
tramadol	8525Q	10755
tramadol	8525Q	10748
tramadol	8525Q	10752
fluticasone propionate + salmeterol	8517G	4930
carbomer-974P	8514D	6172
pimecrolimus	8802G	5482
pimecrolimus	8802G	5472
morphine	8490W	10755
morphine	8490W	10748
morphine	8490W	10752
quetiapine	8580N	4246
quetiapine	8580N	5611
quetiapine	8580N	5639
ezetimibe	8757X	7996
ezetimibe	8757X	7966
carbomer-980	8578L	6172
budesonide + formoterol (eformoterol)	8796Y	4380
aripiprazole	8719X	4246
aripiprazole	8720Y	4246
oxcarbazepine	8588B	5183
tramadol	8523N	10755
tramadol	8523N	10748
tramadol	8523N	10752
desmopressin	8662X	5266
montelukast	8627C	6666
oxcarbazepine	8585W	5183
albendazole	8503M	5680
risperidone	8781E	4246
risperidone	8781E	5912
rabeprazole	8509W	8775
rabeprazole	8509W	8774
eptifibatide	8684C	6435
levetiracetam	8655M	7603
buprenorphine	8867Q	10755
buprenorphine	8867Q	10748
buprenorphine	8867Q	10752
fentanyl	8893C	10745
fentanyl	8893C	10747
fentanyl	8893C	10751
levetiracetam	8654L	7603
famciclovir	8896F	5954
famciclovir	8896F	5947
famciclovir	8896F	5948
famciclovir	8896F	5949
ezetimibe + simvastatin	8881K	7957
pioglitazone	8696Q	4363
pioglitazone	8696Q	4388
pioglitazone	8696Q	4364
fluticasone propionate + salmeterol	8518H	4930
aripiprazole	8717T	4246
topiramate	8520K	5173
aripiprazole	8718W	4246
fondaparinux	8775W	5781
fondaparinux	8775W	5808
fentanyl	8894D	10745
fentanyl	8894D	10747
fentanyl	8894D	10751
esomeprazole	8600P	8780
esomeprazole	8600P	8827
amisulpride	8595J	4246
risperidone	8869T	5903
amisulpride	8594H	4246
mesalazine	8753Q	4888
tramadol	8524P	10755
tramadol	8524P	10748
tramadol	8524P	10752
oxcarbazepine	8584T	5183
lacosamide	9338L	8770
lacosamide	9338L	8815
miconazole	9029F	6434
levodopa + carbidopa	8970D	10386
olanzapine	9294E	4304
lacosamide	9333F	8813
clopidogrel + aspirin	9296G	5488
clopidogrel + aspirin	9296G	5443
clopidogrel + aspirin	9296G	5517
cinacalcet	9159C	10068
cinacalcet	9158B	10068
quetiapine	9204K	4246
quetiapine	9204K	5611
quetiapine	9204K	5639
sitagliptin	9180E	6346
sitagliptin	9180E	6363
sitagliptin	9180E	6376
sitagliptin	9180E	7505
atomoxetine	9096R	7876
atomoxetine	9096R	7890
dabigatran	9320M	4402
clopidogrel	9354H	5517
clopidogrel	9354H	5524
clopidogrel	9354H	5525
clopidogrel	9354H	5459
clopidogrel	9354H	5436
clopidogrel	9354H	5508
lacosamide	9334G	8813
ketoconazole	9024Y	6434
lacosamide	9337K	8770
lacosamide	9337K	8815
lacosamide	9335H	8770
lacosamide	9335H	8815
ziprasidone	9070J	4246
ziprasidone	9070J	5742
dabigatran	9318K	4369
quetiapine	9202H	4246
quetiapine	9202H	5611
quetiapine	9202H	5639
zonisamide	9389E	4928
quetiapine	9203J	4246
quetiapine	9203J	5611
quetiapine	9203J	5639
oxycodone + naloxone	8935G	10755
oxycodone + naloxone	8935G	10748
oxycodone + naloxone	8935G	10752
atomoxetine	9094P	7876
atomoxetine	9094P	7890
dabigatran	9319L	4369
atomoxetine	9093N	7876
atomoxetine	9093N	7890
quetiapine	9205L	4246
quetiapine	9205L	5611
quetiapine	9205L	5639
ziprasidone	9071K	4246
ziprasidone	9071K	5742
dabigatran	9323Q	4381
interferon beta-1a	8968B	7695
interferon beta-1a	8968B	6860
varenicline	9129L	7483
olanzapine	9303P	4304
alendronate + colecalciferol (&) calcium carbonate	9351E	6306
alendronate + colecalciferol (&) calcium carbonate	9351E	6325
alendronate + colecalciferol (&) calcium carbonate	9351E	6319
miconazole	9028E	6434
lacosamide	9336J	8813
levetiracetam	9169N	7620
saxagliptin	8983T	6346
saxagliptin	8983T	6363
saxagliptin	8983T	7505
desmopressin	8975J	5412
desmopressin	8975J	5226
oxycodone + naloxone	8936H	10755
oxycodone + naloxone	8936H	10748
oxycodone + naloxone	8936H	10752
olanzapine	9295F	4304
sitagliptin	9181F	6346
sitagliptin	9181F	6363
sitagliptin	9181F	6376
sitagliptin	9181F	7505
paliperidone	9140C	4246
alendronate + colecalciferol	9012H	6307
alendronate + colecalciferol	9012H	6320
alendronate + colecalciferol	9012H	6315
atomoxetine	9290Y	7876
atomoxetine	9290Y	7890
medium chain triglycerides	9327X	6181
medium chain triglycerides	9327X	6134
medium chain triglycerides	9327X	6164
medium chain triglycerides	9327X	6203
medium chain triglycerides	9327X	6155
medium chain triglycerides	9327X	6135
medium chain triglycerides	9327X	6146
sitagliptin	9182G	6346
sitagliptin	9182G	6363
sitagliptin	9182G	6376
sitagliptin	9182G	7505
dabigatran	9321N	4402
paliperidone	9141D	4246
polyethylene glycol-400 + propylene glycol	9170P	6172
dabigatran	9322P	4381
atomoxetine	9289X	7876
atomoxetine	9289X	7890
terbinafine	9160D	6434
terbinafine	9160D	6412
paliperidone	9142E	4246
miconazole	9027D	6434
olanzapine	8953F	5856
olanzapine	8953F	5869
omeprazole	9110L	8780
omeprazole	9110L	8866
ziprasidone	9073M	4246
ziprasidone	9073M	5742
zoledronic acid	9350D	5710
clopidogrel	9317J	4166
clopidogrel	9317J	4165
risperidone	9293D	6898
risperidone	9293D	6899
zonisamide	9390F	4928
cinacalcet	9157Y	10068
albendazole	9047E	5817
albendazole	9047E	5712
albendazole	9047E	5797
atomoxetine	9092M	7876
atomoxetine	9092M	7890
omeprazole	9109K	8775
omeprazole	9109K	8774
varenicline	9128K	6871
interferon beta-1a	9332E	7695
interferon beta-1a	9332E	6860
olanzapine	8952E	5856
olanzapine	8952E	5869
atomoxetine	9095Q	7876
atomoxetine	9095Q	7890
zonisamide	9388D	4928
hydromorphone	9299K	10754
hydromorphone	9299K	10753
hydromorphone	9299K	10752
ziprasidone	9072L	4246
ziprasidone	9072L	5742
risperidone	9079W	6897
risperidone	9079W	6938
zoledronic acid	9288W	6308
zoledronic acid	9288W	6313
zoledronic acid	9288W	6318
miconazole	9031H	6434
sorafenib	9380Q	10960
sorafenib	9380Q	8617
triglycerides medium chain formula	9383W	6165
triglycerides medium chain formula	9383W	6192
triglycerides medium chain formula	9383W	6173
triglycerides medium chain formula	9383W	6156
triglycerides medium chain formula	9383W	6136
alendronate + colecalciferol	9183H	6306
alendronate + colecalciferol	9183H	6325
alendronate + colecalciferol	9183H	6319
budesonide + formoterol (eformoterol)	10018G	4404
budesonide + formoterol (eformoterol)	10018G	10121
afatinib	11336P	7613
pazopanib	10043N	7458
indacaterol + glycopyrronium	10156M	7798
fluticasone propionate + formoterol (eformoterol)	10007Q	4395
sitagliptin + metformin	10090C	6333
sitagliptin + metformin	10090C	6334
sitagliptin + metformin	10090C	6344
sitagliptin + metformin	10090C	6443
sitagliptin + metformin	10090C	7530
rivaroxaban	9467G	4402
hyaluronate sodium	2171G	4105
saxagliptin	10128C	6346
saxagliptin	10128C	6363
saxagliptin	10128C	7505
febuxostat	10445R	8921
iron polymaltose	2805P	4302
pazopanib	10054E	7459
pazopanib	10047T	7458
donepezil	2532G	10108
dabigatran	2769R	4269
budesonide + formoterol (eformoterol)	10015D	4397
sunitinib	10010W	7471
ivabradine	10012Y	4979
hydromorphone	9409F	10754
hydromorphone	9409F	10753
hydromorphone	9409F	10752
budesonide + formoterol (eformoterol)	10024N	4397
pazopanib	10042M	9247
dabrafenib	2963Y	10157
saxagliptin + metformin	10051B	6333
saxagliptin + metformin	10051B	6335
saxagliptin + metformin	10051B	6344
saxagliptin + metformin	10051B	7530
linagliptin + metformin	10045Q	6333
linagliptin + metformin	10045Q	6336
linagliptin + metformin	10045Q	6344
linagliptin + metformin	10045Q	6443
linagliptin + metformin	10045Q	7530
pazopanib	2201W	7422
rivaroxaban	9465E	4369
whey protein formula supplemented with amino acids, long chain polyunsaturated fatty acids, vitamins and minerals, low in protein, phosphate, potassium and lactose	2870C	6190
pazopanib	2232L	7422
erlotinib	10028T	4600
alogliptin + metformin	10033C	4423
alogliptin + metformin	10033C	4427
lansoprazole	9477T	8775
lansoprazole	9477T	8774
trametinib	10405P	6752
sunitinib	9418Q	9210
tobramycin	10066T	4456
alogliptin	2986E	4349
sitagliptin + metformin	9450J	6333
sitagliptin + metformin	9450J	6334
sitagliptin + metformin	9450J	6344
sitagliptin + metformin	9450J	6443
sitagliptin + metformin	9450J	7530
sunitinib	9417P	9210
hydromorphone	9406C	10754
hydromorphone	9406C	10753
hydromorphone	9406C	10752
hyaluronate sodium	2253N	4105
ezetimibe + simvastatin	9484E	7958
afatinib	11347F	7613
lurasidone	10529E	4246
calcipotriol + betamethasone dipropionate	10075G	7947
dabigatran	2753X	4269
mupirocin	9440W	6647
hydromorphone	9407D	10754
hydromorphone	9407D	10753
hydromorphone	9407D	10752
pantoprazole	9424B	8780
pantoprazole	9424B	8866
ivabradine	2960T	4979
ivermectin	2868Y	4328
ivermectin	2868Y	4565
ivermectin	2868Y	4566
teriflunomide	2898M	10150
teriflunomide	2898M	10199
esomeprazole	10295W	8775
esomeprazole	10295W	8774
fluticasone propionate + formoterol (eformoterol)	10008R	4395
sunitinib	9422X	7466
lanthanum	9405B	5491
trametinib	10403M	10051
sunitinib	10009T	7471
erlotinib	10019H	4600
soy lecithin + tocopherol + vitamin A	9448G	6172
galantamine	2531F	10108
clopidogrel	2275R	4166
clopidogrel	2275R	4165
tapentadol	10091D	10755
tapentadol	10091D	10748
tapentadol	10091D	10752
donepezil	2479L	10108
rivaroxaban	2691P	4269
sunitinib	9421W	7466
clobetasol	10080M	5461
oxycodone	9400R	10755
oxycodone	9400R	10748
oxycodone	9400R	10752
lanthanum	9404Y	5491
alogliptin	2933J	4349
rivastigmine	2551G	10108
lurasidone	10526B	4246
erlotinib	10025P	4600
rivaroxaban	2160Q	4098
rivaroxaban	2160Q	4260
pazopanib	2029T	9281
pregabalin	2363J	4172
sitagliptin + metformin	9449H	6333
sitagliptin + metformin	9449H	6334
sitagliptin + metformin	9449H	6344
sitagliptin + metformin	9449H	6443
sitagliptin + metformin	9449H	7530
sunitinib	2842N	7471
pregabalin	2355Y	4172
trametinib	10382K	10051
pregabalin	2335X	4172
tapentadol	10096J	10755
tapentadol	10096J	10748
tapentadol	10096J	10752
dapagliflozin	10011X	7506
dapagliflozin	10011X	4991
dapagliflozin	10011X	5629
dapagliflozin	10011X	7495
rivastigmine	2494G	10108
aprepitant	2518M	4211
aprepitant	2518M	4215
aprepitant	2518M	6444
aprepitant	2518M	6370
ezetimibe + simvastatin	9483D	7958
rivastigmine	2493F	10108
hydromorphone	9408E	10754
hydromorphone	9408E	10753
hydromorphone	9408E	10752
linagliptin + metformin	10044P	6333
linagliptin + metformin	10044P	6336
linagliptin + metformin	10044P	6344
linagliptin + metformin	10044P	6443
linagliptin + metformin	10044P	7530
rivaroxaban	9469J	4382
alogliptin	2944Y	4349
terbutaline	2817G	9828
dimethyl fumarate	2896K	10140
dimethyl fumarate	2966D	10139
afatinib	11348G	7613
sitagliptin + metformin	9451K	6333
sitagliptin + metformin	9451K	6334
sitagliptin + metformin	9451K	6344
sitagliptin + metformin	9451K	6443
sitagliptin + metformin	9451K	7530
apixaban	2744K	4269
apixaban	2744K	4132
memantine	2513G	10104
rivaroxaban	2268J	4099
rivaroxaban	2268J	4132
rivaroxaban	2268J	4268
rivaroxaban	2268J	4269
tapentadol	10100N	10755
tapentadol	10100N	10748
tapentadol	10100N	10752
saxagliptin + metformin	10055F	6333
saxagliptin + metformin	10055F	6335
saxagliptin + metformin	10055F	6344
saxagliptin + metformin	10055F	7530
trimethoprim	2666H	4243
pazopanib	2030W	9281
hyaluronate sodium	2184Y	4105
rivastigmine	2526Y	10108
galantamine	2463P	10108
dabrafenib	2954L	6013
axitinib	10556N	7433
saxagliptin + metformin	10048W	6333
saxagliptin + metformin	10048W	6335
saxagliptin + metformin	10048W	6344
saxagliptin + metformin	10048W	7530
memantine	2492E	10104
tapentadol	10092E	10755
tapentadol	10092E	10748
tapentadol	10092E	10752
alogliptin + metformin	10032B	4423
alogliptin + metformin	10032B	4427
rivastigmine	2477J	10108
empagliflozin	10206E	7506
empagliflozin	10206E	4991
empagliflozin	10206E	5629
empagliflozin	10206E	7495
perampanel	10157N	4656
pazopanib	10041L	9247
linagliptin + metformin	10038H	6333
linagliptin + metformin	10038H	6336
linagliptin + metformin	10038H	6344
linagliptin + metformin	10038H	6443
linagliptin + metformin	10038H	7530
rivastigmine	2475G	10108
pantoprazole	9423Y	8775
pantoprazole	9423Y	8774
fluticasone propionate + formoterol (eformoterol)	2827T	4395
rivaroxaban	9466F	4402
lansoprazole	9478W	8780
perampanel	10162W	4658
perampanel	10163X	4658
afatinib	11342Y	7613
rivaroxaban	9468H	4381
axitinib	10539Q	7433
tobramycin	10074F	4513
oxycodone	9399Q	10755
oxycodone	9399Q	10748
oxycodone	9399Q	10752
dabrafenib	10003L	6013
desmopressin	9398P	5412
desmopressin	9398P	5226
sitagliptin + metformin	10089B	6333
sitagliptin + metformin	10089B	6334
sitagliptin + metformin	10089B	6344
sitagliptin + metformin	10089B	6443
sitagliptin + metformin	10089B	7530
dabrafenib	2846T	10157
galantamine	2537M	10108
esomeprazole	10343J	8780
esomeprazole	10343J	8827
tapentadol	10094G	10755
tapentadol	10094G	10748
tapentadol	10094G	10752
hyaluronate sodium	2181T	4105
empagliflozin	10202Y	7506
empagliflozin	10202Y	4991
empagliflozin	10202Y	5629
empagliflozin	10202Y	7495
apixaban	2735Y	4269
apixaban	2735Y	4099
apixaban	2735Y	5083
pazopanib	10052C	7459
dimethyl fumarate	2943X	10139
alogliptin + metformin	10035E	4423
alogliptin + metformin	10035E	4427
denosumab	10061M	4504
praziquantel	9447F	5659
cefalexin	2655R	4243
umeclidinium + vilanterol	10188F	7798
pregabalin	2348N	4172
