GE!1418P!AP!!39401000036106!ticagrelor!35461000036107!ticagrelor 90 mg tablet, 56!Brilinta!35451000036109!Brilinta 90 mg tablet, 56!!56!114.52!114.52!
GE!1245M!RW!!21326011000036107!levodopa + carbidopa!28304011000036101!levodopa 250 mg + carbidopa 25 mg tablet, 100!SINADOPA 250/25!1454341000168102!Sinadopa 250/25 tablet, 100!!100!23.84!23.84!0.00
GE!1245M!TX!!21326011000036107!levodopa + carbidopa!28304011000036101!levodopa 250 mg + carbidopa 25 mg tablet, 100!APO-Levodopa/Carbidopa!1454381000168107!Levodopa/Carbidopa 250/25 (Apo) tablet, 100!!100!23.84!23.84!0.00
GE!1622J!PF!!21342011000036105!methotrexate!26910011000036108!methotrexate 2.5 mg tablet, 30!Methoblastin!12093011000036109!Methoblastin 2.5 mg tablet, 30!!30!5.42!5.42!
GE!1644M!PF!!21252011000036100!morphine!26554011000036103!morphine sulfate pentahydrate 10 mg/mL injection, 5 x 1 mL ampoules!DBL Morphine Sulfate Pentahydrate!11182011000036106!Morphine Sulfate (DBL) 10 mg/mL injection, 5 x 1 mL ampoules!!5!5.88!5.88!
GE!1644M!DZ!!21252011000036100!morphine!26554011000036103!morphine sulfate pentahydrate 10 mg/mL injection, 5 x 1 mL ampoules!MORPHINE SULFATE 10 mg/1 mL MEDSURGE!1350261000168107!Morphine Sulfate (Medsurge) 10 mg/mL injection, 5 x 1 mL ampoules!!5!5.88!5.88!
GE!1330B!IL!!21497011000036109!tetrabenazine!26837011000036107!tetrabenazine 25 mg tablet, 112!iNova Pharmaceuticals (Australia) Pty Ltd!663181000168102!Tetrabenazine (iNova) 25 mg tablet, 112!!112!256.47!256.47!
GE!1850J!RW!!21578011000036105!phenobarbital (phenobarbitone)!26982011000036105!phenobarbital (phenobarbitone) 30 mg tablet, 200!Phenobarb!919431000168107!Phenobarb 30 mg tablet, 200!!200!6.69!6.69!
GE!1269T!CR!!21694011000036101!cyproterone!27796011000036102!cyproterone acetate 50 mg tablet, 20!Pharmacor Cyproterone 50!1203751000168107!Cyproterone (Pharmacor) 50 mg tablet, 20!!20!13.32!13.32!0.00
GE!1269T!AL!!21694011000036101!cyproterone!27796011000036102!cyproterone acetate 50 mg tablet, 20!Cyprone 50!447041000144103!Cyprone-50 50 mg uncoated tablet, 20!!20!13.32!13.32!0.00
GE!1269T!RW!!21694011000036101!cyproterone!27796011000036102!cyproterone acetate 50 mg tablet, 20!ANTERONE 50!871111000168108!Anterone 50 mg tablet, 20!!20!13.32!13.32!0.00
GE!1269T!TX!!21694011000036101!cyproterone!27796011000036102!cyproterone acetate 50 mg tablet, 20!APO-Cyproterone!1277311000168107!Cyproterone Acetate (Apo) 50 mg tablet, 20!!20!13.32!13.32!0.00
GE!1269T!AS!!21694011000036101!cyproterone!27796011000036102!cyproterone acetate 50 mg tablet, 20!Cyprocur 50!59151000036102!Cyprocur 50 mg tablet, 20!!20!13.32!13.32!0.00
GE!1269T!EA!!21694011000036101!cyproterone!27796011000036102!cyproterone acetate 50 mg tablet, 20!Cyproterone AN!655711000168102!Cyproterone Acetate (AN) 50 mg tablet, 20!!20!13.32!13.32!0.00
GE!1269T!HX!!21694011000036101!cyproterone!27796011000036102!cyproterone acetate 50 mg tablet, 20!Cyproterone Sandoz!89471000036109!Cyproterone Acetate (Sandoz) 50 mg tablet, 20!!20!13.32!13.32!0.00
GE!1269T!GX!!21694011000036101!cyproterone!27796011000036102!cyproterone acetate 50 mg tablet, 20!GenRx Cyproterone Acetate!11214011000036101!Cyproterone Acetate (GenRx) 50 mg tablet, 20!!20!13.32!13.32!0.00
GE!1269T!BN!!21694011000036101!cyproterone!27796011000036102!cyproterone acetate 50 mg tablet, 20!Androcur!11341011000036100!Androcur 50 mg tablet, 20!!20!13.32!15.55!
GE!1531N!NO!!33644011000036103!insulin neutral human!27056011000036105!insulin neutral human 100 units/mL injection, 1 x 10 mL vial!Actrapid!12309011000036108!Actrapid 100 units/mL injection, 1 x 10 mL vial!!5!17.49!17.49!
GE!1531N!LY!!33644011000036103!insulin neutral human!27056011000036105!insulin neutral human 100 units/mL injection, 1 x 10 mL vial!Humulin R!12049011000036103!Humulin R Regular 100 units/mL injection, 1 x 10 mL vial!!5!17.49!17.49!
GE!1196Y!SW!!21310011000036102!chlorpromazine!27254011000036107!chlorpromazine hydrochloride 10 mg tablet, 100!Largactil!12645011000036109!Largactil 10 mg tablet, 100!!100!2.92!2.92!
GE!1906H!TX!!21241011000036108!nifedipine!28048011000036102!nifedipine 30 mg modified release tablet, 30!APO-Nifedipine XR!78861011000036109!Nifedipine XR (Apo) 30 mg modified release tablet, 30!!30!6.41!6.41!
GE!1906H!RW!!21241011000036108!nifedipine!28048011000036102!nifedipine 30 mg modified release tablet, 30!Addos XR 30!11480011000036108!Addos XR 30 mg modified release tablet, 30!!30!6.41!6.41!
GE!1906H!AF!!21241011000036108!nifedipine!28048011000036102!nifedipine 30 mg modified release tablet, 30!Adefin XL 30!13983011000036107!Adefin XL 30 mg modified release tablet, 30!!30!6.41!6.41!
GE!1807D!RO!!21226011000036100!clonazepam!32768011000036103!clonazepam 1 mg/mL injection [5 x 1 mL ampoules] (&) inert substance diluent [5 x 1 mL ampoules], 1 pack!Rivotril!32362011000036102!Rivotril (5 x 1 mg/mL ampoules, 5 x 1 mL inert diluent ampoules), 1 pack!!5!9.83!9.83!
GE!1260H!PP!!21264011000036101!bisacodyl!27141011000036109!bisacodyl 10 mg suppository, 10!Petrus Bisacodyl Suppositories!12473011000036106!Bisacodyl (Petrus) 10 mg suppository, 10!!3!3.92!3.92!0.00
GE!1260H!VZ!!21264011000036101!bisacodyl!27141011000036109!bisacodyl 10 mg suppository, 10!Dulcolax!12160011000036106!Dulcolax 10 mg suppository, 10!!3!3.92!4.32!
GE!1128J!AS!!21405011000036102!busulfan!27628011000036101!busulfan 2 mg tablet, 100!Myleran!13222011000036109!Myleran 2 mg tablet, 100!!100!61.41!61.41!
GE!1011F!AF!!21583011000036105!doxepin!27462011000036107!doxepin 10 mg capsule, 50!Deptran 10!12949011000036105!Deptran 10 mg capsule, 50!!50!2.98!2.98!
GE!1456P!BN!!21428011000036100!levonorgestrel + ethinylestradiol!26618011000036106!levonorgestrel 125 microgram + ethinylestradiol 50 microgram tablet [21] (&) inert substance tablet [7], 4 x 28!Microgynon 50 ED!11350011000036109!Microgynon 50 ED (21 x 125 microgram/50 microgram tablets, 7 x inert tablets), 4 x 28!!4!9.18!9.18!
GE!1623K!PF!!21342011000036105!methotrexate!26906011000036108!methotrexate 10 mg tablet, 50!Methoblastin!12092011000036102!Methoblastin 10 mg tablet, 50!!50!37.50!37.50!
GE!1153Q!GH!!21822011000036105!carbimazole!26730011000036108!carbimazole 5 mg tablet, 100!Neo-Mercazole!11662011000036108!Neo-Mercazole 5 mg tablet, 100!!200!12.83!12.83!
GE!1153Q!BZ!!21822011000036105!carbimazole!26730011000036108!carbimazole 5 mg tablet, 100!NeoMercazole!499741000144104!NeoMercazole 5 mg tablet, 100!!200!12.83!12.83!
GE!1630T!SW!!21482011000036106!metronidazole!27014011000036106!metronidazole 200 mg/5 mL oral liquid, 100 mL!Flagyl S!12250011000036101!Flagyl S 200 mg/5 mL oral liquid, 100 mL!!1!10.03!10.03!
GE!1004W!RW!!21502011000036104!acetazolamide!26898011000036100!acetazolamide 250 mg tablet, 100!Diamox!12076011000036106!Diamox 250 mg tablet, 100!!100!12.58!12.58!
GE!1747Y!SW!!21433011000036107!paracetamol!26846011000036108!paracetamol 120 mg/5 mL oral liquid, 100 mL!Panamax!12008011000036101!Panamax Elixir 120 mg/5 mL oral liquid, 100 mL!!1!2.39!2.39!
GE!1370D!ED!!21317011000036101!enalapril!28180011000036100!enalapril maleate 5 mg tablet, 30!Enalapril Actavis!181021000036108!Enalapril Maleate (Actavis) 5 mg tablet, 30!!30!1.74!1.74!
GE!1370D!RW!!21317011000036101!enalapril!28180011000036100!enalapril maleate 5 mg tablet, 30!Malean!652011000168106!Malean 5 mg tablet, 30!!30!1.74!1.74!
GE!1370D!AL!!21317011000036101!enalapril!28180011000036100!enalapril maleate 5 mg tablet, 30!Acetec!926291011000036100!Acetec 5 mg tablet, 30!!30!1.74!1.74!
GE!1370D!SZ!!21317011000036101!enalapril!28180011000036100!enalapril maleate 5 mg tablet, 30!Enalapril Sandoz!921387011000036104!Enalapril Maleate (Sandoz) 5 mg tablet, 30!!30!1.74!1.74!
