mp-pt	item-code	manufacturer-code	pfdi
amoxicillin	1887H	AL	0.00
amoxicillin	1887H	TX	0.00
amoxicillin	1887H	VO	0.00
diclofenac	1299J	ED	0.00
diclofenac	1299J	EA	0.00
diclofenac	1299J	RW	0.00
diclofenac	1299J	TX	0.00
diclofenac	1299J	AF	0.00
diclofenac	1299J	SZ	0.00
mometasone	1915T	EO	0.00
mometasone	1915T	AS	0.00
mometasone	1915T	AF	0.00
hydrocortisone acetate	2881P	LN	0.00
olmesartan	2147B	RW	0.00
olmesartan	2147B	SZ	0.00
olmesartan	2147B	TX	0.00
olmesartan	2147B	AF	0.00
olmesartan	2147B	CR	0.00
olmesartan	2147B	EA	0.00
valproate	2290M	WA	0.00
valproate	2290M	RW	0.00
valproate	2290M	SZ	0.00
valproate	2290M	AF	0.00
temazepam	2089Y	AF	0.00
temazepam	2089Y	TX	0.00
temazepam	2089Y	LN	0.00
furosemide (frusemide)	2412Y	EA	0.00
furosemide (frusemide)	2412Y	TX	0.00
furosemide (frusemide)	2412Y	AF	0.00
furosemide (frusemide)	2412Y	ER	0.00
furosemide (frusemide)	2412Y	TY	0.00
simvastatin	2012X	AF	0.00
simvastatin	2012X	SZ	0.00
simvastatin	2012X	GQ	0.00
simvastatin	2012X	TX	0.00
simvastatin	2012X	EA	0.00
simvastatin	2012X	RW	0.00
trandolapril	2793B	RW	0.00
trandolapril	2793B	AF	0.00
diphenoxylate + atropine sulfate	2501P	IL	0.00
cefaclor	2460L	MQ	0.00
cefaclor	2460L	AF	0.00
cefaclor	2460L	TX	0.00
levothyroxine	2174K	LN	0.00
levothyroxine	2175L	LN	0.00
metformin	2430X	TY	0.00
metformin	2430X	TX	0.00
metformin	2430X	RF	0.00
metformin	2430X	SZ	0.00
metformin	2430X	HQ	0.00
metformin	2430X	EA	0.00
metformin	2430X	AF	0.00
metformin	2430X	DO	0.00
trimethoprim + sulfamethoxazole	2951H	AF	0.00
olmesartan medoxomil + hydrochlorothiazide	2161R	AF	0.00
olmesartan medoxomil + hydrochlorothiazide	2161R	SZ	0.00
olmesartan medoxomil + hydrochlorothiazide	2161R	TX	0.00
olmesartan medoxomil + hydrochlorothiazide	2161R	RW	0.00
olmesartan medoxomil + hydrochlorothiazide	2161R	EA	0.00
olmesartan medoxomil + hydrochlorothiazide	2161R	CR	0.00
spironolactone	2339D	AF	0.00
sertraline	2237R	GQ	0.00
sertraline	2237R	RA	0.00
sertraline	2237R	VO	0.00
sertraline	2237R	EA	0.00
sertraline	2237R	SZ	0.00
sertraline	2237R	TX	0.00
sertraline	2237R	AF	0.00
sertraline	2237R	DO	0.00
sertraline	2237R	RW	0.00
simvastatin	2011W	SZ	0.00
simvastatin	2011W	RW	0.00
simvastatin	2011W	GQ	0.00
simvastatin	2011W	RA	0.00
simvastatin	2011W	EA	0.00
simvastatin	2011W	TX	0.00
simvastatin	2011W	AF	0.00
lansoprazole	2240X	TX	0.00
lansoprazole	2240X	RA	0.00
lansoprazole	2240X	VO	0.00
lansoprazole	2240X	AF	0.00
betamethasone valerate	2813C	LN	0.00
medroxyprogesterone	2321E	FZ	0.00
polyvinyl alcohol	2682E	PE	0.00
trandolapril	2792Y	RW	0.00
trandolapril	2792Y	AF	0.00
perindopril + indapamide	2845R	RW	0.00
carbamazepine	2422L	SZ	0.00
triamcinolone	2118L	LN	0.00
verapamil	2208F	GT	0.00
trimethoprim	2922T	AL	0.00
trimethoprim	2922T	AF	0.00
lamotrigine	2851C	AL	0.00
lamotrigine	2851C	RW	0.00
lamotrigine	2851C	DO	0.00
lamotrigine	2851C	GQ	0.00
lamotrigine	2851C	TX	0.00
lamotrigine	2851C	SZ	0.00
lamotrigine	2851C	HX	0.00
lamotrigine	2851C	EA	0.00
lamotrigine	2851C	RF	0.00
hydrocortisone acetate	2882Q	LN	0.00
medroxyprogesterone	2323G	FZ	0.00
perindopril + indapamide	2190G	RW	0.00
amlodipine	2752W	TX	0.00
amlodipine	2752W	GQ	0.00
amlodipine	2752W	EF	0.00
amlodipine	2752W	IB	0.00
amlodipine	2752W	AF	0.00
amlodipine	2752W	SZ	0.00
amlodipine	2752W	JB	0.00
amlodipine	2752W	DO	0.00
amlodipine	2752W	ED	0.00
amlodipine	2752W	EA	0.00
amlodipine	2752W	RW	0.00
amlodipine	2752W	GX	0.00
felodipine	2366M	RW	0.00
felodipine	2366M	TX	0.00
felodipine	2366M	AF	0.00
irbesartan + hydrochlorothiazide	2136K	AL	0.00
irbesartan + hydrochlorothiazide	2136K	IB	0.00
irbesartan + hydrochlorothiazide	2136K	GQ	0.00
irbesartan + hydrochlorothiazide	2136K	RF	0.00
irbesartan + hydrochlorothiazide	2136K	TX	0.00
irbesartan + hydrochlorothiazide	2136K	EF	0.00
irbesartan + hydrochlorothiazide	2136K	SZ	0.00
irbesartan + hydrochlorothiazide	2136K	RW	0.00
irbesartan + hydrochlorothiazide	2136K	ED	0.00
lamotrigine	2848X	TX	0.00
lamotrigine	2848X	RW	0.00
lamotrigine	2848X	SZ	0.00
lamotrigine	2848X	HX	0.00
lamotrigine	2848X	GQ	0.00
lamotrigine	2848X	RF	0.00
lamotrigine	2848X	AL	0.00
lamotrigine	2848X	EA	0.00
lamotrigine	2848X	DO	0.00
olmesartan medoxomil + hydrochlorothiazide	2170F	SZ	0.00
olmesartan medoxomil + hydrochlorothiazide	2170F	RW	0.00
olmesartan medoxomil + hydrochlorothiazide	2170F	EA	0.00
olmesartan medoxomil + hydrochlorothiazide	2170F	AF	0.00
olmesartan medoxomil + hydrochlorothiazide	2170F	CR	0.00
olmesartan medoxomil + hydrochlorothiazide	2170F	TX	0.00
triamcinolone + neomycin + gramicidin + nystatin	2971J	LN	0.00
lamotrigine	2849Y	GQ	0.00
lamotrigine	2849Y	DO	0.00
lamotrigine	2849Y	TX	0.00
lamotrigine	2849Y	SZ	0.00
lamotrigine	2849Y	HX	0.00
lamotrigine	2849Y	RF	0.00
lamotrigine	2849Y	EA	0.00
lamotrigine	2849Y	RW	0.00
lamotrigine	2849Y	AL	0.00
ranitidine	1977C	AF	0.00
ranitidine	1977C	TX	0.00
ranitidine	1977C	RW	0.00
norethisterone + ethinylestradiol	2774B	FZ	0.00
temazepam	2088X	AF	0.00
temazepam	2088X	TX	0.00
temazepam	2088X	LN	0.00
trandolapril	2791X	AF	0.00
trandolapril	2791X	RW	0.00
amlodipine	2751T	GQ	0.00
amlodipine	2751T	IB	0.00
amlodipine	2751T	SZ	0.00
amlodipine	2751T	EF	0.00
amlodipine	2751T	AF	0.00
amlodipine	2751T	GX	0.00
amlodipine	2751T	EA	0.00
amlodipine	2751T	TX	0.00
amlodipine	2751T	JB	0.00
amlodipine	2751T	DO	0.00
amlodipine	2751T	ED	0.00
amlodipine	2751T	RW	0.00
doxycycline	2711Q	RW	0.00
doxycycline	2711Q	EA	0.00
doxycycline	2711Q	AF	0.00
doxycycline	2709N	RW	0.00
doxycycline	2709N	AF	0.00
doxycycline	2709N	EA	0.00
indometacin	2454E	AF	0.00
sertraline	2236Q	VO	0.00
sertraline	2236Q	TX	0.00
sertraline	2236Q	RA	0.00
sertraline	2236Q	GQ	0.00
sertraline	2236Q	EA	0.00
sertraline	2236Q	AF	0.00
sertraline	2236Q	DO	0.00
sertraline	2236Q	SZ	0.00
sertraline	2236Q	RW	0.00
carmellose sodium	2338C	PP	0.00
salbutamol	2001H	ED	0.00
salbutamol	2001H	LR	0.00
salbutamol	2001H	EA	0.00
salbutamol	2001H	TX	0.00
lisinopril	2457H	SZ	0.00
lisinopril	2457H	GQ	0.00
lisinopril	2457H	EA	0.00
lisinopril	2457H	AL	0.00
lisinopril	2457H	DO	0.00
lisinopril	2457H	TX	0.00
lisinopril	2457H	RW	0.00
lansoprazole	2241Y	VO	0.00
lansoprazole	2241Y	TX	0.00
lansoprazole	2241Y	RA	0.00
lansoprazole	2241Y	AF	0.00
oxycodone	2622B	YN	0.00
oxycodone	2622B	AL	0.00
salbutamol	2000G	EA	0.00
salbutamol	2000G	TX	0.00
salbutamol	2000G	LR	0.00
salbutamol	2000G	ED	0.00
paroxetine	2242B	RW	0.00
paroxetine	2242B	GQ	0.00
paroxetine	2242B	SZ	0.00
paroxetine	2242B	DO	0.00
paroxetine	2242B	AF	0.00
paroxetine	2242B	EA	0.00
paroxetine	2242B	TX	0.00
prochlorperazine	2893G	GQ	0.00
prochlorperazine	2893G	EA	0.00
prochlorperazine	2893G	RW	0.00
prochlorperazine	2893G	TX	0.00
prochlorperazine	2893G	AV	0.00
calcitriol	2502Q	TX	0.00
calcitriol	2502Q	EA	0.00
calcitriol	2502Q	ER	0.00
calcitriol	2502Q	AF	0.00
calcitriol	2502Q	RW	0.00
calcitriol	2502Q	ED	0.00
medroxyprogesterone	2722G	FZ	0.00
betaxolol	2825Q	NM	0.00
amitriptyline	2418G	AL	0.00
amitriptyline	2418G	RW	0.00
amitriptyline	2418G	GQ	0.00
amitriptyline	2418G	TX	0.00
spironolactone	2340E	AF	0.00
lisinopril	2458J	EA	0.00
lisinopril	2458J	RW	0.00
lisinopril	2458J	AL	0.00
lisinopril	2458J	SZ	0.00
lisinopril	2458J	TX	0.00
lisinopril	2458J	GQ	0.00
lisinopril	2458J	DO	0.00
allopurinol	2600W	RF	0.00
allopurinol	2600W	AF	0.00
allopurinol	2600W	SZ	0.00
allopurinol	2600W	GX	0.00
pravastatin	2834E	RF	0.00
pravastatin	2834E	EA	0.00
pravastatin	2834E	SZ	0.00
pravastatin	2834E	TX	0.00
pravastatin	2834E	AF	0.00
pravastatin	2834E	GQ	0.00
furosemide (frusemide)	2414C	EA	0.00
furosemide (frusemide)	2414C	TX	0.00
furosemide (frusemide)	2414C	TY	0.00
amitriptyline	2429W	RW	0.00
amitriptyline	2429W	GQ	0.00
amitriptyline	2429W	AL	0.00
amitriptyline	2429W	TX	0.00
levothyroxine	2173J	LN	0.00
propranolol	2565B	TX	0.00
propranolol	2566C	TX	0.00
doxycycline	2714W	EA	0.00
doxycycline	2714W	AF	0.00
doxycycline	2714W	RW	0.00
imiquimod	2546B	TX	0.00
imiquimod	2546B	AF	0.00
quinapril	1969P	RF	0.00
quinapril	1969P	TX	0.00
quinapril	1969P	RW	0.00
quinapril	1969P	AF	0.00
digoxin	2605D	LN	0.00
ranitidine	1978D	EA	0.00
ranitidine	1978D	AF	0.00
ranitidine	1978D	RW	0.00
ranitidine	1978D	TX	0.00
lamotrigine	2850B	TX	0.00
lamotrigine	2850B	SZ	0.00
lamotrigine	2850B	HX	0.00
lamotrigine	2850B	AL	0.00
lamotrigine	2850B	GQ	0.00
lamotrigine	2850B	RF	0.00
lamotrigine	2850B	RW	0.00
lamotrigine	2850B	DO	0.00
lamotrigine	2850B	EA	0.00
indapamide	2436F	RW	0.00
indapamide	2436F	EA	0.00
indapamide	2436F	GX	0.00
indapamide	2436F	AF	0.00
pravastatin	2833D	TX	0.00
pravastatin	2833D	EA	0.00
pravastatin	2833D	RF	0.00
pravastatin	2833D	SZ	0.00
amitriptyline	2417F	AL	0.00
amitriptyline	2417F	GQ	0.00
amitriptyline	2417F	RW	0.00
amitriptyline	2417F	TX	0.00
betamethasone valerate	2812B	OV	0.00
betamethasone valerate	2812B	LN	0.00
doxycycline	2702F	AF	0.00
doxycycline	2702F	RW	0.00
doxycycline	2702F	EA	0.00
carmellose sodium	2324H	PP	0.00
norethisterone + ethinylestradiol	2775C	FZ	0.00
valproate	2289L	AF	0.00
valproate	2289L	SZ	0.00
valproate	2289L	RW	0.00
valproate	2289L	WA	0.00
cefaclor	2461M	MQ	0.00
cefaclor	2461M	TX	0.00
cefaclor	2461M	AF	0.00
felodipine	2361G	TX	0.00
felodipine	2361G	AF	0.00
olmesartan medoxomil + hydrochlorothiazide	2166B	SZ	0.00
olmesartan medoxomil + hydrochlorothiazide	2166B	EA	0.00
olmesartan medoxomil + hydrochlorothiazide	2166B	CR	0.00
olmesartan medoxomil + hydrochlorothiazide	2166B	AF	0.00
olmesartan medoxomil + hydrochlorothiazide	2166B	TX	0.00
olmesartan medoxomil + hydrochlorothiazide	2166B	RW	0.00
olmesartan	2148C	EA	0.00
olmesartan	2148C	TX	0.00
olmesartan	2148C	AF	0.00
olmesartan	2148C	CR	0.00
olmesartan	2148C	RW	0.00
olmesartan	2148C	SZ	0.00
quinapril	1968N	RW	0.00
quinapril	1968N	RF	0.00
quinapril	1968N	AF	0.00
sulfasalazine	2096H	FZ	0.00
sotalol	2043M	TX	0.00
sotalol	2043M	AF	0.00
sotalol	2043M	SZ	0.00
sotalol	2043M	RF	0.00
triamcinolone	2117K	LN	0.00
felodipine	2367N	AF	0.00
felodipine	2367N	RW	0.00
felodipine	2367N	TX	0.00
framycetin sulfate + gramicidin + dexamethasone	2781J	AV	0.00
triamcinolone + neomycin + gramicidin + nystatin	2974M	LN	0.00
lisinopril	2456G	TX	0.00
lisinopril	2456G	GQ	0.00
lisinopril	2456G	EA	0.00
lisinopril	2456G	RW	0.00
lisinopril	2456G	DO	0.00
lisinopril	2456G	AL	0.00
lisinopril	2456G	SZ	0.00
allopurinol	2604C	SZ	0.00
allopurinol	2604C	GX	0.00
allopurinol	2604C	RF	0.00
allopurinol	2604C	AF	0.00
ibuprofen	5123P	TX	0.00
cefalexin	3094W	AF	0.00
cefalexin	3094W	SZ	0.00
amoxicillin	3302T	AF	0.00
amoxicillin	3302T	TX	0.00
amoxicillin	3302T	VO	0.00
cefalexin	3058Y	EA	0.00
cefalexin	3058Y	TX	0.00
cefalexin	3058Y	AF	0.00
cefalexin	3058Y	SZ	0.00
hydrocortisone acetate	5113D	LN	0.00
amlodipine + valsartan + hydrochlorothiazide	5285E	NM	0.00
diazepam	5072Y	TX	0.00
diazepam	5072Y	AF	0.00
diazepam	5072Y	RW	0.00
oxazepam	3133X	RW	0.00
oxazepam	3133X	TX	0.00
diazepam	5071X	TX	0.00
diazepam	5071X	RW	0.00
hydrocortisone acetate	5114E	LN	0.00
olanzapine	3381Y	RW	0.00
olanzapine	3381Y	GQ	0.00
olanzapine	3381Y	TX	0.00
olanzapine	3381Y	EA	0.00
olanzapine	3381Y	SZ	0.00
amoxicillin + clavulanic acid	5006L	TX	0.00
amoxicillin + clavulanic acid	5006L	ED	0.00
amoxicillin + clavulanic acid	5006L	AF	0.00
amoxicillin + clavulanic acid	5006L	RW	0.00
amoxicillin + clavulanic acid	5006L	SZ	0.00
amoxicillin + clavulanic acid	5006L	HQ	0.00
amoxicillin + clavulanic acid	5006L	EA	0.00
cefalexin	3119E	VO	0.00
cefalexin	3119E	GQ	0.00
cefalexin	3119E	TX	0.00
cefalexin	3119E	AF	0.00
cefalexin	3119E	SZ	0.00
cefalexin	3119E	EA	0.00
cefalexin	3119E	CR	0.00
ondansetron	5471Y	RZ	0.00
ondansetron	5471Y	AF	0.00
ondansetron	5471Y	EA	0.00
ondansetron	5471Y	HX	0.00
ondansetron	5471Y	TX	0.00
ondansetron	5471Y	GQ	0.00
ondansetron	5471Y	RF	0.00
oxazepam	5193H	RW	0.00
oxazepam	5193H	TX	0.00
ibuprofen	3190X	TX	0.00
amoxicillin	3300Q	VO	0.00
amoxicillin	3300Q	GQ	0.00
amoxicillin	3300Q	SZ	0.00
amoxicillin	3300Q	AL	0.00
amoxicillin	3300Q	TX	0.00
amoxicillin	3300Q	RF	0.00
amoxicillin	3300Q	AF	0.00
amoxicillin	3300Q	EA	0.00
amoxicillin	3301R	AF	0.00
amoxicillin	3301R	TX	0.00
amoxicillin	3301R	RF	0.00
amoxicillin	3301R	EA	0.00
amoxicillin	3301R	AL	0.00
amoxicillin	3301R	SZ	0.00
dicloxacillin	5096F	AL	0.00
cefalexin	3319Q	AF	0.00
cefalexin	3319Q	SZ	0.00
carbamazepine	5039F	SZ	0.00
roxithromycin	5260W	TX	0.00
roxithromycin	5260W	RW	0.00
roxithromycin	5260W	AF	0.00
roxithromycin	5260W	EA	0.00
roxithromycin	5260W	SZ	0.00
roxithromycin	5260W	AV	0.00
roxithromycin	5260W	ED	0.00
cefalexin	3095X	SZ	0.00
cefalexin	3095X	AF	0.00
cefaclor	5047P	MQ	0.00
cefaclor	5047P	AF	0.00
cefaclor	5047P	TX	0.00
cefaclor	5045M	TX	0.00
cefaclor	5045M	GQ	0.00
cefaclor	5045M	AF	0.00
cefaclor	5045M	MQ	0.00
diazepam	3161J	RW	0.00
diazepam	3161J	TX	0.00
oxazepam	3135B	TX	0.00
oxazepam	3135B	RW	0.00
ibuprofen	3192B	TX	0.00
olanzapine	3382B	GQ	0.00
olanzapine	3382B	RW	0.00
olanzapine	3382B	TX	0.00
olanzapine	3382B	EA	0.00
olanzapine	3382B	SZ	0.00
perindopril	3050M	AF	0.00
perindopril	3050M	TY	0.00
perindopril	3050M	IB	0.00
perindopril	3050M	EA	0.00
perindopril	3050M	RW	0.00
perindopril	3050M	JB	0.00
perindopril	3050M	SZ	0.00
perindopril	3050M	TX	0.00
perindopril	3050M	EF	0.00
amlodipine + valsartan + hydrochlorothiazide	5287G	NM	0.00
ondansetron	5470X	HX	0.00
ondansetron	5470X	GQ	0.00
ondansetron	5470X	RF	0.00
ondansetron	5470X	EA	0.00
ondansetron	5470X	AF	0.00
ondansetron	5470X	TX	0.00
ondansetron	5470X	RZ	0.00
amlodipine + valsartan + hydrochlorothiazide	5288H	NM	0.00
amlodipine + valsartan + hydrochlorothiazide	5286F	NM	0.00
diazepam	3162K	RW	0.00
diazepam	3162K	TX	0.00
diazepam	3162K	AF	0.00
naproxen	5179N	IY	0.00
naproxen	5178M	IY	0.00
amoxicillin + clavulanic acid	5011R	SZ	0.00
cefalexin	3317N	TX	0.00
cefalexin	3317N	EA	0.00
cefalexin	3317N	AF	0.00
cefalexin	3317N	SZ	0.00
dutasteride	5468T	TX	0.00
amlodipine + valsartan	5459H	NM	0.00
dicloxacillin	5097G	AL	0.00
trimethoprim + sulfamethoxazole	3390K	AF	0.00
diclofenac	5077F	TX	0.00
diclofenac	5077F	RW	0.00
diclofenac	5077F	ED	0.00
diclofenac	5077F	SZ	0.00
diclofenac	5077F	AF	0.00
diclofenac	5077F	EA	0.00
colchicine	3410L	LN	0.00
paracetamol + codeine	3316M	SZ	0.00
paracetamol + codeine	3316M	TX	0.00
paracetamol + codeine	3316M	AV	0.00
paracetamol + codeine	3316M	AF	0.00
paracetamol + codeine	3316M	AL	0.00
paracetamol + codeine	3316M	GQ	0.00
quetiapine	5458G	RW	0.00
quetiapine	5458G	SZ	0.00
quetiapine	5458G	TY	0.00
quetiapine	5458G	OW	0.00
metformin	3439B	CR	0.00
metformin	3439B	IB	0.00
metformin	3439B	TX	0.00
metformin	3439B	RF	0.00
metformin	3439B	AF	0.00
metformin	3439B	RW	0.00
cefalexin	3318P	GQ	0.00
cefalexin	3318P	EA	0.00
cefalexin	3318P	TX	0.00
cefalexin	3318P	CR	0.00
cefalexin	3318P	VO	0.00
cefalexin	3318P	SZ	0.00
cefalexin	3318P	AF	0.00
prednisolone	3152X	LN	0.00
diclofenac	5076E	AF	0.00
diclofenac	5076E	EA	0.00
diclofenac	5076E	TX	0.00
diclofenac	5076E	SZ	0.00
diclofenac	5076E	ED	0.00
diclofenac	5076E	RW	0.00
ibuprofen	5124Q	TX	0.00
tramadol	5232J	EA	0.00
tramadol	5232J	SZ	0.00
