code	text
7668	Patients who have initiated treatment with thalidomide within the last month do not have to experience failure after a trial of at least 4 weeks of thalidomide or to have failed to achieve at least a minimal response after at least 8 weeks of thalidomide treatment.
7703	Continuing Therapy Only:For prescribing by nurse practitioners as continuing therapy only, where the treatment of, and prescribing of medicine for, a patient has been initiated by a medical practitioner. Further information can be found in the Explanatory Notes for Nurse Practitioners. 
7708	One injection of hydroxocobalamin 1 mg every three months provides appropriate maintenance therapy in vitamin B12 deficiencies.
7709	Pharmaceutical benefits that have the form hydroxocobalamin injection 1 mg (as acetate) in 1 mL and pharmaceutical benefits that have the form hydroxocobalamin injection 1 mg (as chloride) in 1 mL are equivalent for the purposes of substitution.
7734	Details of accepted toxicities including severity can be found on the Department of Human Services website at www.humanservices.gov.au.
7740	Up to a maximum of 18 pens will be reimbursed through the PBS. 
7753	Any queries concerning the arrangements to prescribe may be directed to Services Australia on 1800 700 270 (hours of operation 8 a.m. to 5 p.m. EST Monday to Friday).Prescribing information (including Authority Application forms and other relevant documentation as applicable) is available on the Services Australia website at www.servicesaustralia.gov.auApplications for authority to prescribe should be submitted online using the form upload facility in Health Professional Online Services (HPOS) at www.servicesaustralia.gov.au/hposOr mailed to:Services AustraliaComplex DrugsReply Paid 9826HOBART TAS 7001
7767	Authority applications for continuing treatment may be made by telephone to the Department of Human Services on 1800 700 270 (hours of operation 8 a.m. to 5 p.m. EST Monday to Friday).
7775	Management includes initiation, stabilisation and review of therapy as required.
7813	Pharmaceutical benefits that have the forms omeprazole tablet 20 mg, omeprazole capsule 20 mg and omeprazole tablet 20 mg (as magnesium) are equivalent for the purposes of substitution.
7850	Molnlycke Health Care products are distributed through leading pharmacy distributors. To best ensure product availability at the RPBS agreed prices, special arrangements have been made with API and Independence Australia Health Solutions (IAHS). IAHS orders can be placed on: Tel: 1300 788 855; or Email: customerservice@independenceaustralia.com. Molnlycke Health Care is not able to ensure product availability or pricing on listed products beyond these two suppliers.
7873	The in-use shelf life of Hylo-Fresh and Hylo-Forte is 6 months from the date of opening. 
7901	Shared Care Model:For prescribing by nurse practitioners where care of a patient is shared between a nurse practitioner and medical practitioner in a formalised arrangement with an agreed management plan. Further information can be found in the Explanatory Notes for Nurse Practitioners.
7936	Written applications for authority to prescribe should be forwarded to: Department of Human ServicesComplex Drugs Reply Paid 9826 HOBART TAS 7001
7958	Patients who fail to demonstrate at least a partial response after 8 cycles will not be eligible to receive further PBS-subsidised treatment with bortezomib.
8019	The in-use shelf life of VitA-POS is 6 months from the date of opening.
8030	Fosamax Plus provides a supplemental intake of vitamin D. The amount of colecalciferol present in Fosamax Plus is not sufficient to use as the sole treatment for correction of vitamin D deficiency.
8084	Details of acceptable toxicities including severity, associated with phototherapy, methotrexate and acitretin, can be found on the Department of Human Services website at www.humanservices.gov.au
8087	TREATMENT OF PATIENTS UNDER 18 YEARS WITH SEVERE CHRONIC PLAQUE PSORIASIS The following information applies to the prescribing of etanercept under the Pharmaceutical Benefits Scheme (PBS) for patients under 18 years with severe chronic plaque psoriasis. Applications for treatment of this condition will be limited to provide patients with a maximum of 24 weeks of therapy per course of treatment. A maximum of 16 weeks treatment with etanercept will be authorised for the primary application. The balance, a further 8 weeks treatment, will be authorised if the submitted Psoriasis Area and Severity Index (PASI) assessment demonstrates an adequate response to treatment. Where fewer than 3 repeats are requested at the time of the authority application, authority approvals for sufficient repeats to complete a maximum of 16 weeks of treatment may be requested by telephone.Once a patient has failed to respond to treatment 2 times, they must have, at a minimum, a 12 month break. The length of a treatment break is measured from the date the most recent treatment was stopped to the date of the first application for initial treatment. There are separate restrictions for treatment for psoriasis affecting the whole body, versus psoriasis affecting the face, hands and feet. (1) Application for approval for initial treatment. Applications for a course of initial treatment should be made for patients who have received no prior PBS-subsidised biological treatment and wish to commence such therapy. (2) Applications for approval for re-treatment. Applications for re-treatment with etanercept should be made in the following situations: (i) a patient who has received prior PBS-subsidised etanercept and experiences a disease flare, and wishes to start a second or subsequent treatment course with etanercept following a break of less than 12 months in PBS-subsidised therapy; or (ii) a patient who has received and failed to respond to prior PBS-subsidised etanercept and wishes to start a second or subsequent treatment course following a break of less than 12 months in PBS-subsidised therapy. For psoriasis affecting the whole body:Patients are eligible for re-treatment due to disease flare if there is a 50% or greater change in the patients PASI score or the patient has a current PASI score of greater than 15, compared to the most recent response assessment following cessation of the most recent 24 weeks of PBS-subsidised etanercept.For psoriasis affecting the face, hand or foot:Patients are eligible for re-treatment due to disease flare if:(i) all subscores are rated moderate to severe or 2 of the three subscores are rated severe to very severe; OR(ii) the skin area affected is a 50% or greater change or the area affected is 30% or more of the face, palm of a hand or sole of a foot, compared to the most recent response assessment following cessation of the most recent 24 weeks of PBS-subsidised etanercept.(3) Applications for approval for completion of a courseApplications for a further 8 weeks of treatment to allow for completion of 24 weeks of therapy should be submitted with a PASI assessment.The PASI assessment must be conducted after at least 12 weeks of treatment. This assessment must be submitted to Department of Human Services (the Department) within 1 month of the completion of 12 weeks of treatment. Where a response assessment is not undertaken and submitted to the Department within these timeframes, the patient will be deemed to have failed to respond to treatment with that biological agent. In circumstances where it is not possible to submit a response assessment within these timeframes, please call the Department on 1800 700 270 to discuss. (4) Baseline measurements to determine response. The Department will determine whether a response to treatment has been demonstrated, based on the baseline PASI assessment submitted with the first authority application for etanercept. However, prescribers may provide new baseline measurements any time that an initial or re-treatment authority is submitted and subsequent response will be assessed according to this revised PASI score. To ensure consistency in determining response, the same body area assessed at the baseline PASI assessment must be assessed for demonstration of response to treatment for the purposes of gaining approval for the remainder of 24 weeks treatment. (5) Re-commencement of treatment after a 12 month break in PBS-subsidised therapy. A patient who wishes to start a second or subsequent treatment course with etanercept following a break in PBS-subsidised etanercept therapy of at least 12 months , must requalify for treatment under the initial treatment restriction. The most recent PASI assessment must be no more than 1 month old at the time of application. 
8094	Authority approval for sufficient therapy to complete a maximum of 16 weeks of treatment may be requested by telephone by contacting the Department of Human Services on 1800 700 270 (hours of operation 8 a.m. to 5 p.m. EST Monday to Friday). Written application for authority approval for sufficient therapy to complete a maximum of 16 weeks of treatment should be forwarded to: Department of Human ServicesComplex Drugs Reply Paid 9826 HOBART TAS 7001
8110	It is recommended that an application is posted to the Department of Human Services no later than 2 weeks prior to the patient completing their initial 16 week treatment course to ensure continuity of treatment for those patients who meet the eligibility criterion for a further 8 weeks of PBS-subsidised etanercept treatment. 
8111	In circumstances where it is not possible to submit a response assessment after 12 weeks of treatment, please call the Department of Human Services on 1800 700 270 to discuss.
8112	The Department of Human Services will determine whether a response to treatment has been demonstrated, based on the baseline PASI assessment submitted with the first authority application for etanercept.
8175	Not for prophylaxis of deep vein thrombosis or peripheral arterial disease.
8176	Pharmaceutical benefits that have the forms clopidogrel tablet 75 mg (as besilate) and clopidogrel tablet 75 mg (as hydrogen sulfate) are equivalent for the purposes of substitution.
8221	For immunisation of adults and children aged greater than or equal to 8 years.
8295	Pharmaceutical benefits that have the form perindopril with indapamide hemihydrate tablet (containing 4 mg perindopril erbumine-1.25 mg indapamide hemihydrate) and pharmaceutical benefits that have the form perindopril with indapamide hemihydrate tablet (containing 5 mg perindopril arginine-1.25 mg indapamide hemihydrate) are equivalent for the purposes of substitution.
8312	Treatment centres are required to have access to the following appropriate specialist facilities for the provision of clinical support services for hepatitis C:(a) a nurse educator/counsellor for patients; and(b) 24-hour access by patients to medical advice; and(c) an established liver clinic.
8480	Aprepitant is not PBS-subsidised for nausea and vomiting associated with radiotherapy being used to treat malignancy.
8541	Smith & Nephew products are distributed via the three major wholesalers, API, Sigma and Symbion. To best ensure product availability at RPBS agreed prices, please order from one of these suppliers. In the event that your preferred wholesaler cannot supply, please contact Smith & Nephew Customer Service on 13 13 60. Smith & Nephew cannot ensure RPBS agreed pricing from distributors other than those aforementioned.
8559	Helicobacter pylori eradication therapy should be considered prior to commencing initial treatment of peptic ulcer with this drug.
8579	Used as an adjunct in the management of leg ulceration and associated eczema and skin conditions.
8580	Treatment of varices and oedema associated with venous disease and lymphoedema; contraindicated in arterial disease.
8582	Sorafenib is not PBS-subsidised for adjunctive treatment after resection, ablation or chemoembolization.Sorafenib is not PBS-subsidised for maintenance therapy after disease progression.
8590	The patient or carer must be able to understand and administer the imiquimod dosing regimen.
8591	Treatment of recurrent (previously treated) lesions will not be authorised.
8592	Pharmaceutical benefits that have the form imiquimod single use sachets and pharmaceutical benefits that have the form imiquimod multi-use pump are equivalent for the purposes of substitution.
8683	For patients who commence therapy with ipilimumab:(i) Decisions concerning efficacy should await completion of the entire induction regimen (four doses) and should be made in conjunction with established criteria for immunological responses. However induction may be ceased or delayed if symptomatic progressive disease or intolerable adverse events occur and if, in the opinion of the clinician, continuation of treatment poses a risk to the patient;(ii) Tumour responses may occur beyond the initial 12 week induction phase and evaluation for potential later responses should be undertaken regularly for the first year. 
8695	A patient may only qualify for PBS-subsidised treatment under this restriction once.
8730	Authorities for increased maximum quantities, up to a maximum of 48, may be authorised.
8757	For first continuing supply, applications for increased repeats for up to 3 months' supply may be authorised.
8758	Where consultation with a palliative care specialist or service has occurred, applications for increased repeats for up to 3 months' supply may be authorised.
8759	Telephone approvals are limited to 1 months' therapy.
9086	The units used to express the potency of botulinum toxin preparations currently available for PBS subsidy are not equivalent.
9162	It is highly desirable that all patients be included in the national cystic fibrosis patient database.
9221	Pharmaceutical benefits that have the form olanzapine tablet 5 mg (orally disintegrating) and pharmaceutical benefits that have the form olanzapine wafer 5 mg are equivalent for the purposes of substitution.
9222	Pharmaceutical benefits that have the form olanzapine tablet 10 mg (orally disintegrating) and pharmaceutical benefits that have the form olanzapine wafer 10 mg are equivalent for the purposes of substitution.
9223	Pharmaceutical benefits that have the form olanzapine tablet 15 mg (orally disintegrating) and pharmaceutical benefits that have the form olanzapine wafer 15 mg are equivalent for the purposes of substitution.
9224	Pharmaceutical benefits that have the form olanzapine tablet 20 mg (orally disintegrating) and pharmaceutical benefits that have the form olanzapine wafer 20 mg are equivalent for the purposes of substitution.
9251	A patient who has had progressive disease when treated with another BRAF inhibitor is not eligible to receive PBS-subsidised treatment with this drug.
9258	A patient who has progressive disease when treated with this drug is no longer eligible for PBS-subsidised treatment with this drug.
9293	Only 2 courses of PBS-subsidised nicotine replacement therapy may be prescribed per 12-month period.Benefit is improved if used in conjunction with a comprehensive support and counselling program.
9314	This fixed dose combination tablet is not PBS-subsidised for use in combination with a sulfonylurea (triple oral therapy), as initial therapy or in combination with a thiazolidinedione (glitazone), a glucagon-like peptide-1 or an SGLT2 inhibitor. 
9371	Alogliptin is not PBS-subsidised for use in combination with metformin and a sulfonylurea (triple oral therapy), as monotherapy or in combination with a thiazolidinedione (glitazone), a glucagon-like peptide-1 or an SGLT2 inhibitor.
9426	Authorities for increased maximum quantities, up to a maximum of 20, may be authorised. 
9541	Flutiform is not recommended nor PBS-subsidised for use as 'maintenance and reliever' therapy.
9542	Flutiform is not indicated or PBS-subsidised for bronchodilator therapy in COPD. 
9552	Pharmaceutical benefits that have the form esomeprazole tablet 20 mg and pharmaceutical benefits that have the form esomeprazole capsule 20 mg are equivalent for the purposes of substitution. 
9774	Authorities for increased maximum quantities, up to a maximum of 52, may be authorised.
9785	Pharmaceutical benefits that have the form esomeprazole tablet 40 mg and pharmaceutical benefits that have the form esomeprazole capsule 40 mg are equivalent for the purposes of substitution.
9789	No applications for increased maximum quantities and/or repeats will be authorised for the tablets containing 320 mg valsartan.
9854	This drug is not PBS-subsidised for use as monotherapy or in combination with a dipeptidyl peptidase 4 inhibitor (gliptin), a thiazolidinedione (glitazone), an insulin or an SGLT2 inhibitor.
9886	This drug is not PBS-subsidised for use as monotherapy or in combination with a dipeptidyl peptidase 4 inhibitor (gliptin), a glucagon-like peptide-1 or an SGLT2 inhibitor. 
9915	Unlike Symbicort Turbuhaler 200/6, Symbicort Rapihaler 200/6 is not recommended nor PBS-subsidised for use as 'maintenance and reliever' therapy as the approved Product Information does not specify such use.
9919	Symbicort 400/12 is not recommended nor PBS-subsidised for use as 'maintenance and reliever' therapy.
9956	Arginine with carbohydrate is not indicated for the treatment of arginase deficiency and other inborn errors of protein metabolism. 
9977	Pharmaceutical benefits that have the forms doxycycline tablet 100 mg (as hyclate (hydrochloride)), doxycycline tablet 100 mg (as monohydrate) and doxycycline modified release capsule 100 mg (as hyclate (hydrochloride)) are equivalent for the purposes of substitution.
9992	Applications for increased maximum quantities will only be authorised for patients with body weight greater than 100 kg. 
9997	Pharmaceutical benefits that have the forms doxycycline tablet 50 mg (as hyclate (hydrochloride)), doxycycline tablet 50 mg (as monohydrate) and doxycycline modified release capsule 50 mg (as hyclate (hydrochloride)) are equivalent for the purposes of substitution.
10190	Temozolomide is not PBS-subsidised for use in conjunction with PBS-subsidised carmustine.
10231	A course of treatment with this drug is 12 weeks or up to 24 weeks, if initial treatment of 12 weeks has been successful.
10232	The period between commencing varenicline and bupropion or a new course of varenicline must be at least 6 months. 
10333	Denosumab is not PBS-subsidised for use in patients who have undergone curative surgical resection.
10370	In first-line usage, effectiveness and tolerance may be improved when irinotecan is combined with an infusional 5-fluorouracil regimen. 
10411	This product is not PBS-subsidised for the treatment of asthma.
10412	This product is not indicated for the initiation of bronchodilator therapy in COPD. 
10422	Use of alternative DMARDs in children is dependent on approval by the Therapeutic Goods Administration as age restrictions may apply. 
10446	Patients may receive treatment in combination with lamivudine but not with other PBS-subsidised antihepadnaviral therapy.
10499	The Department of Human Services website (www.humanservices.gov.au) has details of the toxicities, including severity, which will be accepted for the following purposes:(a) exempting a patient from the requirement to undertake a minimum 3 month trial of methotrexate at a 20 mg weekly dose; (b) substituting azathioprine, cyclosporin or sodium aurothiomalate for another DMARD as part of the 6 month intensive DMARD trial;(c) exempting a patient from the requirement for a 6 month trial of intensive DMARD therapy. 
10600	Authorities for increased maximum quantities, up to a maximum of 11, may be authorised.
10614	This drug is not recommended nor PBS-subsidised for use as 'maintenance and reliever' therapy.
10615	This drug is not PBS-subsidised for the treatment of chronic obstructive pulmonary disease (COPD).
10626	Authority approval for sufficient therapy to complete a maximum of 24 weeks of treatment may be requested by telephone by contacting the Department of Human Services on 1800 700 270 (hours of operation 8 a.m. to 5 p.m. EST Monday to Friday). Written application for authority approval for sufficient therapy to complete a maximum of 24 weeks of treatment should be forwarded to: Department of Human Services Prior Written Approval of Complex Drugs Reply Paid 9826 GPO Box 9826 HOBART TAS 7001 
10664	Patients who have progressive disease with everolimus are no longer eligible for PBS-subsidised everolimus.
10728	Pharmaceutical benefits that have the form sumatriptan tablet 50 mg (as succinate) and pharmaceutical benefits that have the form sumatriptan tablet (fast disintegrating) 50 mg (as succinate) are equivalent for the purposes of substitution.
10798	This drug is not PBS-subsidised for first line treatment of typical scabies.
10872	Neurologists prescribing PBS-subsidised alemtuzumab must be registered with the Lemtrada monitoring program.
10909	OxyContin modified release tablets are intended to be crush-deterrent and to reduce the rapid release of oxycodone upon accidental or intentional misuse.
11039	Applications for authorisation under this criterion may be made by telephone by contacting the Department of Human Services on 1800 700 270 (hours of operation 8 a.m. to 5 p.m. EST Monday to Friday).Written applications for authorisation under this criterion should be forwarded to:Department of Human ServicesComplex DrugsReply Paid 9826HOBART TAS 7001
11164	Details of the toxicities, including severity, which will be accepted for the purposes of administering this restriction can be found on the Department of Human Services website at www.humanservices.gov.au
11165	For details on the appropriate minimum exercise program that will be accepted for the purposes of administering this restriction, please refer to the Department of Human Services website at www.humanservices.gov.au
11241	A patient may only qualify for PBS-subsidised treatment under this treatment phase restriction once during a short-term course of treatment.
11260	A patient who has progressive disease with eribulin is no longer eligible for PBS-subsidised eribulin.
11407	FruitiVits must only be used under strict supervision of a dietitian and a paediatrician.
11429	A LAMA includes tiotropium, glycopyrronium, aclidinium or umeclidinium.
11468	Not indicated for the treatment of intractable childhood epilepsy or cerebrospinal fluid glucose transporter defect requiring a ketogenic diet. 
11472	Not for use as neoadjuvant or adjuvant therapy.
11519	For patients with graft versus host disease, acute myeloid leukaemia or myelodysplastic syndrome, applications for an increased maximum quantity to allow for up to 1 month's treatment and repeats sufficient for up to 6 months' treatment may be authorised. 
11520	For patients undergoing allogeneic haematopoietic stem cell transplant, applications for an increased maximum quantity to allow for up to 1 month's treatment and repeats sufficient for up to 2 months' treatment may be authorised.
11532	A patient may only qualify for PBS-subsidised treatment under this restriction once in a lifetime.
11563	One capsule of itraconazole 50 mg (Lozanoc) is therapeutically equivalent to one 100 mg capsule of conventional itraconazole (Sporanox). The recommended dose of Lozanoc is therefore half the recommended dose for Sporanox. Lozanoc 50 mg capsules and Sporanox 100 mg capsules are not interchangeable.
11595	Application for an increased maximum quantity to allow for up to 1 month's treatment and repeats sufficient for up to 6 months' treatment may be authorised.
11698	Any queries concerning the arrangements to prescribe may be directed to the Department of Human Services on 1800 700 270 (hours of operation 8 a.m. to 5 p.m. EST Monday to Friday). Prescribing information (including Authority Application forms and other relevant documentation as applicable) is available on the Department of Human Services website at www.humanservices.gov.auApplications for authority to prescribe should be forwarded to:Department of Human Services Prior Written Approval of Complex DrugsReply Paid 9826HOBART TAS 7001
11808	A raise in LDH alone is not a sufficient reason to re-commence eculizumab, but thrombocytopenia with one marker of haemolysis (such as raised LDH, presence of schistocytes, or low/absence of haptoglobin) is an accepted reason to consider re-commencement of eculizumab treatment.
11809	Kidney transplantation/dialysis is not a contraindication to recommencement of eculizumab treatment.
11975	Any queries concerning the arrangements to prescribe may be directed to the Department of Human Services on 1800 700 270 (hours of operation 8 a.m. to 5 p.m. EST Monday to Friday). Prescribing information (including Authority Application forms and other relevant documentation as applicable) is available on the Department of Human Services website at www.humanservices.gov.au Written applications for authority to prescribe must be submitted to Department of Human Services. Human Services will then contact the prescriber by telephone.
12189	A maximum lifetime supply for this indication is limited to a maximum of 8 treatments per site and to 10 treatments per site for patients in whom radiotherapy is interrupted.
12230	Not for the treatment of Crohn disease
12335	This drug is not PBS-subsidised for primary prevention of breast cancer.
12336	This drug is not PBS-subsidised for adjuvant hormonal treatment of early breast cancer extended beyond 5 years, i.e. a patient who has received 2 years of tamoxifen therapy may only receive 3 years of PBS-subsidised treatment with exemestane.
12347	Only 1 course of not more than 6 months' therapy will be authorised.
12367	For item codes 8740B and 1610R, pharmaceutical benefits that have the form injection equivalent to 50 mg folinic acid in 5 mL are equivalent for the purposes of substitution.
12368	For item codes 5890B and 1899Y, pharmaceutical benefits that have the form injection equivalent to 50 mg folinic acid in 5 mL are equivalent for the purposes of substitution.
12369	This drug is not PBS-subsidised for adjuvant hormonal treatment of early breast cancer where the total duration of this drug (or any other aromatase inhibitor) treatment extends beyond 5 years.
12375	Pharmaceutical benefits that have the form ranibizumab 0.165 mL injection syringe and pharmaceutical benefits that have the form ranibizumab 0.23 mL injection vial are equivalent for the purposes of substitution.
12539	For item codes 8649F and 1836P, pharmaceutical benefits that have the form capsule 250 mg are equivalent for the purposes of substitution.
12819	Pharmaceutical benefits that have the forms desvenlafaxine tablet (modified release) 50 mg, desvenlafaxine tablet (modified release) 50 mg (as benzoate) and desvenlafaxine tablet (extended release) 50 mg (as succinate) are equivalent for the purposes of substitution.
12820	Pharmaceutical benefits that have the forms desvenlafaxine tablet (modified release) 100 mg, desvenlafaxine tablet (modified release) 100 mg (as benzoate) and desvenlafaxine tablet (extended release) 100 mg (as succinate) are equivalent for the purposes of substitution.
12837	This drug is not PBS-subsidised for use as monotherapy or in combination with a dipeptidyl peptidase 4 inhibitor (gliptin), a thiazolidinedione (glitazone) or an SGLT2 inhibitor.
12869	Details of the toxicities, including severity, which will be accepted as a reason for exempting a patient from the requirement for 3 months treatment with methotrexate and 3 months treatment with sulfasalazine or leflunomide can be found on the Department of Human Services website (www.humanservices.gov.au)
12870	The assessment of the patient's response to this initial course of treatment must be made following a minimum of 12 weeks of treatment and submitted to the Department of Human Services no later than 4 weeks from the cessation of the treatment course. If the response assessment is not submitted within these timeframes, the patient will be deemed to have failed this course of treatment.
12912	This medicine is not PBS-subsidised for nausea and vomiting associated with radiotherapy being used to treat malignancy.
12958	Risk of end-organ damage or mortality includes a minimum of one of the following:Glomerulonephritis with risk of progression Risk to sight including scleritis/episcleritis, sudden visual loss, uveitis, retinal changes (vasculitis/thrombosis/exudates/haemorrhage) Bronchial/subglottic obstruction Pulmonary haemorrhage Parenchymal lung disease Sensory neural hearing loss Recurrent sinonasal disease requiring recurrent surgical interventions Meningitis, organic confusion, seizures, stroke, cord lesion, cranial nerve palsy, sensory peripheral neuropathy, motor mononeuritis multiplex 
12959	At the time of authority application, medical practitioners must request the appropriate number of vials to provide sufficient drug for four weeks of treatment.
13021	For item codes 8869T and 1846E, pharmaceutical benefits that have the form tablet 0.5 mg are equivalent for the purposes of substitution.
13056	For items 8787L and 1842Y, pharmaceutical benefits that have the form tablet 0.5 mg are equivalent for the purposes of substitution.
13087	Carmustine is not PBS-subsidised for use in conjunction with PBS-subsidised temozolomide.
13096	Authorities for increased maximum quantities and/or repeats will not be granted except as detailed under the 'Authority required' listing of temazepam. 
13099	Care must be taken to comply with the provisions of State/Territory law when prescribing this drug.
13108	The use of this drug for the treatment of the following conditions is not subsidised through the PBS:(a) acute pain;(b) soft tissue injury;(c) arthrosis without an inflammatory component.
13122	For item codes 1257E and 1797N, pharmaceutical benefits that have the form powder for injection 1 g are equivalent for the purposes of substitution.
13124	For item codes 5478H and 1799Q, pharmaceutical benefits that have the form powder for injection 1 g are equivalent for the purposes of substitution.
13202	"Sustained" means the abnormality was detected on at least 2 blood samples collected over a period of 2 to 4 months.
13203	Aciclovir 200 mg is not PBS-subsidised for chickenpox, herpes zoster or herpes simplex infections other than genital herpes.
13205	For item codes 1003T and 1555W, pharmaceutical benefits that have the form tablet 200 mg are equivalent for the purposes of substitution.
13267	This drug is only effective if commenced within 72 hours of onset of rash.
13269	Aciclovir 800 mg is not PBS-subsidised for herpes simplex or chickenpox.
13287	No applications for repeats will be authorised.
13290	No applications for increased repeats will be authorised. 
13395	Not for use in the treatment of sclerosing cholangitis or cholelithiasis.
13413	Pharmaceutical benefits that have the form lansoprazole capsule 30 mg and pharmaceutical benefits that have the form lansoprazole tablet 30 mg (orally disintegrating) are equivalent for the purposes of substitution.
13420	Metronidazole has similar efficacy to vancomycin but may have less selective pressure to vancomycin resistant enterococci and is therefore the preferred treatment.
13428	This drug has been reported to cause frequent and potentially serious toxicity.
13429	Regular monitoring of hepatic and thyroid function is recommended.
13555	This drug is not PBS-subsidised for conditions other than CAPS.
13564	This drug should not be used as the first line of treatment.
13565	Other PBS-listed benzodiazepines should have been adequately tried and found to be ineffective or inappropriate.
13566	Authorities for increased quantities and/or repeats may be granted to patients with terminal disease, and other patients who have been shown to be dependent on this item by an unsuccessful attempt at gradual withdrawal.
13615	No applications for increased maximum quantities will be authorised.
13798	No applications for increased maximum quantities and/or repeats will be authorised for the 120 mg powder for injection.
13804	For item codes 2110C and 1880Y, pharmaceutical benefits that have the form tablet 20 mg (base) are equivalent for the purposes of substitution.
13808	Prescribing of drugs of addiction by dentists is not permitted in some States/Territories.
13839	Icatibant should be provided in the framework of a comprehensive hereditary angioedema prophylaxis program and an emergency Action Plan including training in recognition of the symptoms of hereditary angioedema and the self-administration of icatibant. (For further information see the Australasian Society of Clinical Immunology and Allergy website at www.allergy.org.au)
13902	Formal assessment and correction of inhaler technique should be performed in accordance with the National Asthma Council (NAC) Information Paper for Health Professionals on Inhaler Technique (available at www.humanservices.gov.au or www.nationalasthma.org.au); the assessment and adherence to correct technique should be documented in the patient's medical records. Patients can obtain support with inhaler technique through their local Asthma Foundation (1800 645 130).
13915	Telephone approvals are limited to 1 month's therapy.
13916	Regular monitoring of drug serum levels is recommended.
13975	For copies of the ACQ please contact Novartis Medical Information on 1800 671 203 or medinfo.phauno@novartis.com
13976	It is recommended that an application for continuing treatment is submitted at the time of the 22 to 26 week assessment, to ensure continuity of treatment for those patients who meet the continuation criterion for PBS-subsidised omalizumab treatment.
13978	Fentanyl transdermal patches are not recommended in opioid naive patients with non-cancer pain because of a high incidence of adverse events in these patients. Patients with cancer pain may be initiated on the lowest strength patch (12 micrograms per hour).
13979	Pharmaceutical benefits that have the form fentanyl 12 microgram/hour patch are equivalent for the purposes of substitution.
13980	Pharmaceutical benefits that have the form fentanyl 25 microgram/hour patch are equivalent for the purposes of substitution.
13981	Pharmaceutical benefits that have the form fentanyl 50 microgram/hour patch are equivalent for the purposes of substitution.
13983	Pharmaceutical benefits that have the form fentanyl 75 microgram/hour patch are equivalent for the purposes of substitution.
13984	Pharmaceutical benefits that have the form fentanyl 100 microgram/hour patch are equivalent for the purposes of substitution.
14062	The auto-injector should be provided in the framework of a comprehensive anaphylaxis prevention program and an emergency action plan including training in recognition of the symptoms of anaphylaxis and the use of the auto-injector device. (For further information see the Australasian Society of Clinical Immunology and Allergy website at www.allergy.org.au.)
14074	It is recommended that an application for continuing treatment is submitted at the time of the 18 to 22 week assessment, to ensure continuity of treatment for those patients who meet the continuation criterion for PBS-subsidised omalizumab treatment.
14169	The Services Australia website (www.servicesaustralia.gov.au) has details of the accepted toxicities, including severity, which will be accepted for the purposes of exempting a patient from the requirement of treatment with optimised asthma therapy.
14187	Paediatric Seravit must only be used under strict supervision of a dietitian and a paediatrician.
14215	Authority applications may be made by telephone to the Department of Human Services on 1800 700 270 (hours of operation 8 a.m. to 5 p.m. EST Monday to Friday).
14216	Maintenance treatment is limited to one re-treatment (maximum 2 vials) every 2 years.
14252	Pharmaceutical benefits that have the form meloxicam tablet 7.5 mg and pharmaceutical benefits that have the form meloxicam capsule 7.5 mg are equivalent for the purposes of substitution.
